user_id,first_name,last_name,email,phone_number,date_of_birth,gender,country,city,preferred_currency,kyc_status,user_tier,is_active,registration_date,created_at,updated_at
f995e54d-a3a3-4003-9717-a21cc9511136,Farhan,Qureshi,farhan759@yahoo.com,+966592867825,1994-08-10,M,SA,Tabuk,SAR,verified,basic,True,2024-03-17 11:48:59,2024-03-17 11:48:59,2025-06-28 02:15:32
0e37b365-d0cd-4a66-b38b-3265208e7712,Jana,Naguib,jana.naguib@gmail.com,+966544335942,1986-01-27,F,SA,Yanbu,SAR,verified,silver,True,2023-08-13 03:24:19,2023-08-13 03:24:19,2024-01-10 09:15:11
851ec68a-1b08-467a-93cf-b78224b33293,Farah,Chaudhry,farahchaudhry@mobily.com.sa,+971505437923,2005-03-20,F,AE,Abu Dhabi,AED,pending,gold,True,2023-06-01 06:02:47,2023-06-01 06:02:47,2024-05-20 06:42:35
1337df40-9805-4948-82fd-7fdd69eb4876,Maha,Elshamy,maha651@yahoo.com,+966532338687,1986-01-15,F,SA,Tabuk,SAR,verified,silver,True,2025-03-09 03:53:58,2025-03-09 03:53:58,2025-06-21 23:59:43
64f49a6f-a7d3-4a7c-8fa6-e1063e9b8c19,Mishal,Naguib,mishal323@mobily.com.sa,+201195899313,1991-06-11,M,EG,Tanta,EGP,verified,basic,True,2025-12-14 16:50:40,2025-12-14 16:50:40,2025-12-28 13:45:33
b3df77ca-f3ee-4bab-80f6-8aa7bf536c5f,Aya,Al-Maktoum,aya.almaktoum@gmail.com,+966563342608,1971-02-08,F,SA,Najran,SAR,verified,platinum,True,2025-11-20 18:28:25,2025-11-20 18:28:25,2026-02-10 17:52:53
d4892882-f909-481d-833f-2c2c4f14751a,Mansoor,Naguib,mansoor.naguib@hotmail.ae,648.401.8451x46270,1967-06-17,M,EG,Suez,EGP,verified,basic,True,2025-05-18 17:20:03,2025-05-18 17:20:03,2026-01-16 13:33:15
f58c7268-410c-4279-b019-3cc5c7b79a3e,Anil,Malhotra,anil.malhotra@stc.com.sa,+971504337174,1993-04-16,M,AE,Ajman,AED,pending,gold,True,2023-08-02 02:58:54,2023-08-02 02:58:54,2023-11-17 15:24:40
7fca45e9-8294-4e4b-8136-fb16651b64a1,Mansoor,Mostafa,mansoor170@etisalat.ae,+966563109911,1975-07-05,M,SA,Yanbu,SAR,rejected,silver,True,2024-04-10 04:10:51,2024-04-10 04:10:51,2024-05-29 21:42:36
91c2f2ae-f633-4ec1-ace5-a25edf0bd6bf,Youssef,Al-Rashid,,+966531352896,1996-11-29,M,SA,Jeddah,SAR,pending,basic,True,2024-02-17 20:55:00,2024-02-17 20:55:00,2024-05-30 15:23:17
cbb1d620-c29f-4ab6-a9f6-0b99fdb3dfb2,Ali,Al-Nuaimi,alialnuaimi@etisalat.ae,+966568930103,1983-04-23,M,SA,Jeddah,SAR,verified,platinum,True,2024-12-06 12:23:56,2024-12-06 12:23:56,2025-03-01 09:19:16
12213511-a6f0-40a6-b856-b13bbc0dc3c4,Hina,Qureshi,hinaqureshi@stc.com.sa,+966544214348,1997-01-02,F,SA,Madinah,SAR,verified,platinum,True,2025-12-29 03:18:48,2025-12-29 03:18:48,2026-03-20 07:23:55
e44292b0-ad67-470c-8764-d20035f63166,Nikhil,Mehta,nikhil.mehta@yahoo.ae,+97467818496,1980-05-29,M,QA,Al Rayyan,QAR,verified,basic,False,2024-01-11 01:29:43,2024-01-11 01:29:43,2024-12-14 05:58:22
9fd9cb03-b75d-478c-8cd9-3a115b004955,Bilal,Malik,bilal162@stc.com.sa,+966512022698,1976-03-23,M,SA,Tabuk,SAR,verified,gold,True,2026-02-02 23:20:17,2026-02-02 23:20:17,2026-02-22 13:46:14
3b663052-f650-458e-a4b5-0a1246939a5e,Pradeep,Khanna,pradeepkhanna@stc.com.sa,+966555130808,1991-05-28,M,SA,Khamis Mushait,SAR,verified,gold,False,2023-04-05 12:53:42,2023-04-05 12:53:42,2025-11-25 11:23:25
e49c952e-3523-4e87-a030-9b4bf2fd353d,Hossam,Al-Maktoum,hossam.almaktoum@hotmail.ae,+201185563727,1967-04-08,M,EG,Cairo,EGP,verified,basic,False,2026-01-15 14:30:49,2026-01-15 14:30:49,2026-01-28 15:26:04
fd3d1142-f289-48e3-90bb-6d0980cc0b88,Hussein,Al-Kharafi,husseinalkharafi@outlook.sa,+201245496015,1969-02-13,M,EG,Aswan,EGP,pending,silver,True,2024-08-21 05:28:43,2024-08-21 05:28:43,2025-12-29 02:07:57
6faf8bb5-5be3-4cf5-a2f0-5f4ff4594794,Abeer,Mostafa,abeer.mostafa@outlook.sa,+966563710895,1981-03-12,F,SA,Dammam,SAR,verified,silver,True,2023-05-26 01:04:57,2023-05-26 01:04:57,2024-12-12 12:16:34
53dd12fa-9ca8-4fa7-92a2-ba4ee0e5819f,Saleh,Mohamed,saleh256@outlook.com,(886)592-3226x025,1971-01-19,M,EG,Tanta,EGP,pending,platinum,True,2024-05-09 12:49:39,2024-05-09 12:49:39,2026-01-11 02:33:07
af2e94e6-b4ce-4d9a-811d-23def850097d,Anand,Desai,ananddesai@outlook.com,+971531649691,1979-03-19,M,AE,Umm Al Quwain,AED,verified,silver,True,2023-07-07 21:46:58,2023-07-07 21:46:58,2025-01-03 09:27:33
d5f66354-48f3-4cbe-9ef4-e8a1dad74749,Faisal,Hassan,faisalhassan@outlook.sa,+201196098221,1989-11-30,M,EG,Aswan,EGP,verified,platinum,True,2024-07-21 08:19:39,2024-07-21 08:19:39,2025-11-04 04:52:46
27b3b2f6-8e82-4df5-a8c0-3eea6bc8a8e8,Ghada,Al-Shehri,ghada.alshehri@stc.com.sa,+201278642041,1968-09-12,F,EG,Mansoura,EGP,verified,basic,True,2026-01-15 14:28:02,2026-01-15 14:28:02,2026-02-13 18:16:07
b9d53804-aee1-42f5-ab27-ee9af940170b,Rania,Al-Jaber,raniaaljaber@stc.com.sa,+201178064830,1974-07-10,F,EG,6th of October City,EGP,verified,gold,True,2024-06-09 18:30:30,2024-06-09 18:30:30,2025-05-09 16:12:15
8441d0e7-8901-4466-af8f-a699366155b7,Hossam,Al-Shehri,hossam330@mobily.com.sa,+201187844239,1963-05-13,M,EG,Ismailia,EGP,verified,silver,True,2023-04-29 00:14:03,2023-04-29 00:14:03,2024-05-13 08:37:32
ba1d1736-3839-411b-a713-99b3647a488d,Ryan,Flores,ryan.flores@gmail.com,+971538640615,1977-03-05,M,AE,Fujairah,AED,verified,basic,True,2025-08-03 23:11:02,2025-08-03 23:11:02,2025-09-20 02:19:40
5504febd-d8f6-45f7-a36a-6ec3ca0a1771,Essam,Elgohary,essamelgohary@stc.com.sa,+201071265269,1990-02-25,M,EG,Zagazig,EGP,rejected,gold,True,2024-05-21 15:19:28,2024-05-21 15:19:28,2024-07-20 19:43:07
cf1691f3-e9a3-42e6-9f5a-cc01486cd8d2,Amira,Al-Dossari,amiraaldossari@etisalat.ae,+971565558623,1997-02-21,F,AE,Al Ain,AED,verified,silver,True,2024-08-17 01:44:31,2024-08-17 01:44:31,2025-08-13 23:12:01
44e06cf8-4063-4f0e-bc76-53434882cd6d,Essam,Al-Zahrani,essam.alzahrani@outlook.com,+201165804273,1978-10-16,M,EG,New Cairo,EGP,verified,silver,False,2024-02-25 22:13:16,2024-02-25 22:13:16,2025-01-29 10:47:33
f11970a2-529a-4157-974b-5cfb44cc588a,Maha,Farouk,maha766@yahoo.ae,+201275181765,1963-08-22,F,EG,Cairo,EGP,verified,silver,True,2023-12-29 08:56:20,2023-12-29 08:56:20,2025-02-05 12:16:09
565b056f-f905-4211-b659-fe1b0a8df25b,Zeina,Al-Falasi,,+971504551070,1961-08-09,F,AE,Umm Al Quwain,AED,verified,basic,True,2024-01-25 18:17:40,2024-01-25 18:17:40,2024-09-18 11:31:12
